epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17719284139382532,0.5380570818070818,0.45454545454545453,3.3333333333333333e-06
2,0.161883277961841,0.5001221001221001,0.5,6.666666666666667e-06
3,0.14666410578558078,0.4905067155067155,0.5,1e-05
4,0.1255327294079157,0.4961614774114774,0.5,9.988834393115768e-06
5,0.10194366277219394,0.4909874847374847,0.5,9.955387440773902e-06
6,0.08178666943254378,0.4786095848595848,0.5,9.899808525182935e-06
7,0.06678651955026464,0.47380189255189253,0.5,9.822345875271884e-06
8,0.055455990052089475,0.4954441391941392,0.5,9.723345458039595e-06
9,0.04577446084779998,0.4734432234432235,0.5,9.603249433382145e-06
10,0.03790061745959788,0.4759691697191697,0.5,9.462594179299408e-06
11,0.030820064151134245,0.4941163003663004,0.5,9.302007896300697e-06
12,0.024768714676611125,0.49329212454212457,0.5,9.122207801708802e-06
13,0.019339787524539787,0.49484890109890106,0.5,8.923996926393306e-06
14,0.01528288235511774,0.48582112332112337,0.5,8.708260528239788e-06
15,0.011495868642575657,0.4943605006105006,0.5,8.475962138373212e-06
16,0.008052267258067448,0.4948412698412698,0.5,8.228139257794012e-06
17,0.006418432874899083,0.50121336996337,0.5,7.965898723646777e-06
18,0.004588924202555343,0.5021749084249084,0.5,7.690411765816864e-06
19,0.003554975652686829,0.50121336996337,0.5,7.402908775933419e-06
