epoch,train_loss,val_loss,val_bal_acc,lr
1,0.18212016113102436,0.1801326818143328,0.5,0.0
2,0.1795608297818237,0.17408787148694196,0.5,0.0006413526055732688
3,0.18621662155621582,0.19418043456971645,0.5,0.0020231049075626548
4,0.18363591247341698,0.17348924092948437,0.5,0.005
5,0.19039186876681116,0.1770182168111205,0.5,0.005
6,0.18345402719246018,0.22062751045450568,0.5,0.005
7,0.17341128198636901,0.17395887648065886,0.5,0.005
8,0.17533533678700527,0.1725433630247911,0.4861111111111111,0.005
9,0.17354280263599423,0.17318212737639746,0.5,0.005
10,0.1751214981906944,0.1725068772211671,0.5277777777777778,0.005
11,0.1747231853918897,0.177239624162515,0.5,0.005
12,0.17968620623772344,0.17283719374487796,0.5902777777777778,0.005
13,0.1750929140382343,0.17337380411724249,0.5,0.005
14,0.17375938107983935,0.1725852539141973,0.5,0.005
15,0.1731980445070399,0.17266686291744313,0.5,0.005
16,0.17690504745890698,0.17154837058236203,0.5416666666666666,0.005
17,0.1748014853025476,0.17248119165500006,0.5694444444444444,0.005
18,0.17368083881835142,0.17241730572034916,0.5347222222222222,0.005
19,0.17175516351643536,0.17103684321045876,0.5555555555555556,0.0025
20,0.17268927260819408,0.17134264453003803,0.5625,0.0025
21,0.1715222460528215,0.17226224237432083,0.5416666666666666,0.0025
22,0.17231076728138658,0.1715279147028923,0.5902777777777778,0.0025
23,0.17375228678186735,0.17168421919147173,0.5208333333333334,0.0025
24,0.17165778877420557,0.17273545544594526,0.5208333333333334,0.0025
25,0.17118167970329523,0.171152846266826,0.5555555555555556,0.00125
26,0.16998762357980013,0.17321279148260751,0.5208333333333334,0.00125
27,0.16860468302749926,0.17006448811541,0.5347222222222222,0.00125
28,0.16967865534954601,0.17050144107391438,0.5763888888888888,0.00125
29,0.1686449409979913,0.17318153815964857,0.5208333333333334,0.00125
30,0.1673187312359611,0.1716879749049743,0.5486111111111112,0.00125
31,0.1686621606349945,0.16926908493041992,0.5625,0.000625
32,0.1666986205511623,0.16931471601128578,0.5902777777777778,0.000625
33,0.16712174036850533,0.1690910163645943,0.576388888888889,0.000625
34,0.1665318530673782,0.16902529976020256,0.5902777777777778,0.000625
35,0.1671682247478101,0.1689377954850594,0.5625,0.000625
36,0.1641883956682351,0.17091875740637383,0.5416666666666666,0.000625
37,0.1643760059442785,0.1685004336759448,0.5763888888888888,0.0003125
38,0.16469042013502783,0.16842530388385057,0.6041666666666667,0.0003125
39,0.16293887638797364,0.16886956865588823,0.5763888888888888,0.0003125
40,0.16326866361002126,0.1685898673410217,0.5555555555555556,0.0003125
41,0.16335700628244215,0.16856242499003807,0.5555555555555556,0.0003125
42,0.16488630107293525,0.16955010344584784,0.5555555555555556,0.0003125
43,0.16427843241641918,0.16861742362380028,0.5763888888888888,0.0003125
44,0.163587622034053,0.17094815770785013,0.5347222222222222,0.0003125
45,0.16359744210624033,0.16963139300545058,0.5555555555555556,0.00015625
46,0.1639570981884996,0.16854746732860804,0.5555555555555556,0.00015625
47,0.1613297974690795,0.16817807033658028,0.5763888888888888,0.00015625
48,0.16064411660449374,0.1681490701933702,0.5694444444444444,0.00015625
49,0.1618283394103249,0.16871037241071463,0.5347222222222222,0.00015625
