epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17333573626704735,0.46878580672270387,0.46825396825396826,3.3333333333333333e-06
2,0.17316011302541978,0.4881980159213572,0.4722222222222222,6.666666666666667e-06
3,0.1729215141570214,0.5014428619601736,0.5,1e-05
4,0.17258517370365634,0.5315143297511162,0.5476190476190477,9.988834393115768e-06
5,0.17200836155674246,0.5288422323797821,0.5476190476190477,9.955387440773902e-06
6,0.1707359185755843,0.5350753607375589,0.5793650793650793,9.899808525182935e-06
7,0.16829751151623112,0.5248901412230385,0.5753968253968254,9.822345875271884e-06
8,0.16443447835079514,0.5192934787406274,0.5198412698412699,9.723345458039595e-06
9,0.15959698633097186,0.5438247803265839,0.6150793650793651,9.603249433382145e-06
10,0.15530000597533614,0.537836174919537,0.6071428571428572,9.462594179299408e-06
11,0.15216198109901777,0.5373908253576479,0.5833333333333333,9.302007896300697e-06
12,0.15148739413459703,0.5554215240223938,0.5992063492063492,9.122207801708802e-06
13,0.14891226165513,0.5485823848138006,0.6190476190476191,8.923996926393306e-06
14,0.14823719582492761,0.5537959319149237,0.5912698412698413,8.708260528239788e-06
15,0.1470276498706034,0.555360613973295,0.5912698412698413,8.475962138373212e-06
16,0.1445832177258954,0.5433909065710467,0.5357142857142857,8.228139257794012e-06
17,0.14428752649686125,0.5305693412357502,0.5634920634920635,7.965898723646777e-06
18,0.14314134087007824,0.5332533557906036,0.49206349206349204,7.690411765816864e-06
19,0.14204366508834432,0.5174463152951313,0.5396825396825397,7.402908775933419e-06
20,0.14022967757860033,0.5149626859742695,0.5396825396825397,7.104673812141676e-06
21,0.13994125332130064,0.5193389405888678,0.5119047619047619,6.797038864187564e-06
22,0.13857373908752263,0.5067058433040436,0.5119047619047619,6.481377904428171e-06
23,0.13728114154816853,0.5090469077998407,0.5119047619047619,6.1591007513376425e-06
24,0.13724881222490037,0.5038942707478165,0.5396825396825397,5.831646772915651e-06
25,0.13583663426856002,0.5101499093411298,0.5119047619047619,5.500478458120493e-06
26,0.13529706189390456,0.5076455352934011,0.5119047619047619,5.1670748850383734e-06
27,0.13444698561388668,0.505651834628334,0.5119047619047619,4.832925114961629e-06
28,0.13386818596927247,0.501676350481719,0.5119047619047619,4.499521541879508e-06
29,0.13336272349599565,0.5006179280343356,0.5119047619047619,4.1683532270843505e-06
