epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.18680857526773662,0.5147077168514136,0.4841269841269841,3.3333333333333333e-06
2,0.16631424175808654,0.5155400882357591,0.5793650793650793,6.666666666666667e-06
3,0.15001222940596082,0.5427926740776271,0.6388888888888888,1e-05
4,0.13223096612761934,0.5408380288742825,0.5753968253968254,9.988834393115768e-06
5,0.11415561309410888,0.5112969707831055,0.5476190476190477,9.955387440773902e-06
6,0.09638558043909899,0.5168595835595451,0.5277777777777778,9.899808525182935e-06
7,0.08093932325914072,0.5236617488671843,0.5,9.822345875271884e-06
8,0.06938143577677895,0.5143668618676394,0.49206349206349204,9.723345458039595e-06
9,0.06242183146384583,0.5199211289679297,0.5158730158730158,9.603249433382145e-06
10,0.05561165748476293,0.5253936962911816,0.5317460317460317,9.462594179299408e-06
11,0.047484527411108014,0.52518593287968,0.5674603174603174,9.302007896300697e-06
12,0.04174133461248668,0.5308236567414615,0.5555555555555556,9.122207801708802e-06
13,0.03585481074295924,0.5345036606771066,0.5238095238095237,8.923996926393306e-06
14,0.03068582030465855,0.5238154850067731,0.5,8.708260528239788e-06
15,0.028109562531452775,0.528478521743561,0.5317460317460317,8.475962138373212e-06
16,0.021512299561920183,0.5355047025688869,0.4603174603174603,8.228139257794012e-06
17,0.02006184089816039,0.5322990844354019,0.5079365079365079,7.965898723646777e-06
18,0.01700695315523406,0.5265194840790854,0.5436507936507937,7.690411765816864e-06
19,0.014662664324411755,0.5332935376354855,0.5317460317460317,7.402908775933419e-06
