epoch,train_loss,val_loss,val_bal_acc,lr
1,0.18061548988852236,0.17850946759184202,0.5,0.0
2,0.1752072268476089,0.17551332339644432,0.5,0.0006413526055732688
3,0.17653126321319076,0.1758797944833835,0.5,0.0020231049075626548
4,0.17938725433001915,0.1788833880176147,0.5,0.005
5,0.17916127221865785,0.17685433849692345,0.5,0.005
6,0.17751791504108244,0.17552797372142473,0.5,0.005
7,0.1757664808796512,0.17563210800290108,0.5,0.005
8,0.17560674415694344,0.17543651349842548,0.5,0.005
9,0.17717644003116423,0.1749547328799963,0.4791666666666667,0.005
10,0.17651874292641878,0.17642651498317719,0.5,0.005
11,0.17297190614044666,0.17468001196781793,0.5,0.0025
12,0.17648716188139385,0.17520277140041193,0.5,0.0025
13,0.17496017832309008,0.17621197986106077,0.5,0.0025
14,0.17377485583225885,0.17516241843501726,0.5,0.0025
15,0.17489207059972817,0.17626893085738024,0.5,0.0025
16,0.1747693530180388,0.17527731818457445,0.5,0.0025
