epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.18732389825805326,0.5656236739251814,0.6666666666666666,3.3333333333333333e-06
2,0.16733594050752781,0.5746554997208263,0.6071428571428572,6.666666666666667e-06
3,0.15122748852890228,0.5271691792294807,0.39285714285714285,1e-05
4,0.11399840048261892,0.5122568397543272,0.48809523809523814,9.988834393115768e-06
5,0.08847959462170289,0.5158682300390843,0.5714285714285714,9.955387440773902e-06
6,0.07936284679954297,0.5042925739810162,0.5595238095238095,9.899808525182935e-06
7,0.07176447658686437,0.49908431044109436,0.5714285714285714,9.822345875271884e-06
8,0.06756345238188438,0.4950686767169179,0.5714285714285714,9.723345458039595e-06
9,0.06148537429763335,0.4768352875488554,0.48809523809523814,9.603249433382145e-06
10,0.05692516686394811,0.46395979899497486,0.48809523809523814,9.462594179299408e-06
11,0.051329277299135646,0.46833054159687326,0.48809523809523814,9.302007896300697e-06
12,0.04599486857252282,0.46031267448352875,0.48809523809523814,9.122207801708802e-06
13,0.04194162505913839,0.44550307091010605,0.40476190476190477,8.923996926393306e-06
14,0.03722415021272533,0.4476694584031267,0.40476190476190477,8.708260528239788e-06
15,0.033282356281769156,0.43868006700167506,0.40476190476190477,8.475962138373212e-06
16,0.029651339035851133,0.4450273590173088,0.4642857142857143,8.228139257794012e-06
