epoch,train_loss,val_loss,val_bal_acc,lr
1,0.17458826903667715,0.1738208457827568,0.5,0.0
2,0.17400461104181078,0.17325253443171582,0.5,0.0006413526055732688
3,0.17552151023927662,0.17333619855344296,0.5,0.0020231049075626548
4,0.17645253561851051,0.1734218873704473,0.5,0.005
5,0.17659816187289026,0.17373185077061257,0.5,0.005
6,0.1772053214824862,0.17331614003827175,0.576388888888889,0.005
7,0.1749485722846455,0.1736009412755569,0.5,0.005
8,0.17812417209562328,0.1740501125653585,0.5,0.005
9,0.17804337893095282,0.17435557457307974,0.5,0.005
10,0.1792373870395952,0.1736793831611673,0.5,0.005
11,0.17668015137314796,0.1736065363511443,0.4722222222222222,0.005
12,0.17459484262184966,0.173787963266174,0.4791666666666667,0.005
13,0.17525905629412997,0.17397239586959282,0.5,0.0025
14,0.1740155496324102,0.17493943311274052,0.5,0.0025
15,0.17509520353956354,0.1737791874135534,0.5,0.0025
16,0.1741886492818594,0.1747826604793469,0.5,0.0025
17,0.17551850837965807,0.1747579127550125,0.5,0.0025
18,0.1736773436682092,0.17509244134028754,0.5,0.0025
19,0.1728873574692342,0.17686568076411882,0.5,0.00125
20,0.17360581912928158,0.17798187211155891,0.5,0.00125
21,0.1716479512138499,0.17540138152738413,0.5,0.00125
