epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.1658502541191085,0.512820945945946,0.5256410256410257,3.3333333333333335e-05
2,0.06571114518518388,0.5598479729729731,0.5512820512820513,6.666666666666667e-05
3,0.03376110059169496,0.6996283783783783,0.8461538461538461,0.0001
4,0.026067958542880052,0.7361486486486486,0.717948717948718,9.988834393115767e-05
5,0.01729761448536132,0.7026858108108107,0.717948717948718,9.9553874407739e-05
6,0.0070653395595903085,0.695168918918919,0.6794871794871795,9.899808525182935e-05
7,0.006720777708700014,0.6922804054054055,0.717948717948718,9.822345875271883e-05
8,0.008421394440226613,0.5358445945945945,0.46153846153846156,9.723345458039594e-05
9,0.0073956308438917085,0.7721283783783783,0.7564102564102564,9.603249433382144e-05
10,0.0043066698511531245,0.7027027027027027,0.7564102564102564,9.462594179299406e-05
11,0.006370015382802006,0.6931587837837838,0.717948717948718,9.302007896300698e-05
12,0.002698985440220595,0.723918918918919,0.7564102564102564,9.122207801708802e-05
13,0.002524980489499041,0.6764864864864866,0.7564102564102564,8.923996926393305e-05
14,0.004659757618983298,0.7203378378378378,0.717948717948718,8.708260528239788e-05
15,0.0038990643427867164,0.6677364864864865,0.717948717948718,8.475962138373213e-05
16,0.003152609467092614,0.6962162162162162,0.717948717948718,8.228139257794012e-05
17,0.0004299907812986036,0.7203547297297297,0.717948717948718,7.965898723646776e-05
18,0.0032626666561072193,0.7022972972972974,0.7564102564102564,7.690411765816864e-05
19,0.0035749544187902303,0.7186824324324323,0.717948717948718,7.402908775933419e-05
20,0.0005351142240596341,0.7074493243243243,0.717948717948718,7.104673812141675e-05
