epoch,train_loss,train_acc,val_loss,val_win_bal_acc,val_rec_bal_acc,lr
1,0.1725240569313367,0.5333,0.19616882141792413,0.5157830935833199,0.5384615384615384,3.3333333333333333e-06
2,0.15835437615712483,0.6527,0.6761187600592772,0.46230537147782985,0.5384615384615384,6.666666666666667e-06
3,0.13823210572203,0.7129,1.0227301634396568,0.5182506330477884,0.5384615384615384,1e-05
4,0.13779335970679918,0.7188,1.0947635533203455,0.5179462313452939,0.5384615384615384,9.988834393115768e-06
5,0.12927797918518386,0.7398,1.156571613088476,0.5120225203383438,0.5384615384615384,9.955387440773902e-06
6,0.12400918399294217,0.7575,1.1902827239651796,0.48903345724907066,0.5384615384615384,9.899808525182935e-06
7,0.12472284759084383,0.7558,1.1018819098191506,0.45735951726738866,0.5384615384615384,9.822345875271884e-06
8,0.11667499115069707,0.7854,1.0966982804697403,0.41010990787134316,0.41346153846153844,9.723345458039595e-06
9,0.11480609580874443,0.7915,0.989071037673222,0.4243386670976779,0.41346153846153844,9.603249433382145e-06
10,0.11005965096255144,0.7977,0.8710740933364088,0.4608830343192716,0.4519230769230769,9.462594179299408e-06
11,0.10874361058076222,0.805,0.7225337038592746,0.4745029901406174,0.4903846153846154,9.302007896300697e-06
12,0.1047014493495226,0.8117,0.9926859950293985,0.4655675879532353,0.4519230769230769,9.122207801708802e-06
13,0.10315682823459307,0.8115,0.811364830259911,0.4847637519530198,0.4519230769230769,8.923996926393306e-06
14,0.1000923478603363,0.8198,0.5419348957948387,0.5550266688217229,0.6057692307692308,8.708260528239788e-06
15,0.10018774216373762,0.824,0.7671731311376347,0.5346559991379775,0.5673076923076923,8.475962138373212e-06
16,0.09798860664168994,0.8237,0.6394572587486244,0.5878535639243576,0.6826923076923077,8.228139257794012e-06
17,0.09306096618374189,0.8352,0.749503453198651,0.554135014277248,0.6057692307692308,7.965898723646777e-06
18,0.09087324544787406,0.8417,0.6441094178501798,0.5655702817736113,0.6057692307692308,7.690411765816864e-06
19,0.09105200546483198,0.8394,0.7685348164981626,0.5550913205107484,0.5673076923076923,7.402908775933419e-06
20,0.09006703108549118,0.8377,0.6860213904627458,0.553483109746242,0.6057692307692308,7.104673812141676e-06
21,0.08635829572876294,0.8502,0.8234540560762539,0.527253380744572,0.5288461538461539,6.797038864187564e-06
22,0.0846337710817655,0.8506,0.7636563684367998,0.5466785194763213,0.6442307692307692,6.481377904428171e-06
23,0.08431598896781603,0.8531,0.6446188136681237,0.5627121383546145,0.6442307692307692,6.1591007513376425e-06
24,0.0813132605701685,0.8575,0.841358902772437,0.5656780345886536,0.5673076923076923,5.831646772915651e-06
25,0.08024339400231838,0.8567,0.8128288709487992,0.5417218899843759,0.5673076923076923,5.500478458120493e-06
26,0.08038828122119109,0.8598,0.770540600332121,0.5755050913205108,0.6057692307692308,5.1670748850383734e-06
27,0.07828372173011303,0.8662,0.6403792690429272,0.5689079252195464,0.6442307692307692,4.832925114961629e-06
28,0.07592300777633985,0.8692,0.6479152922067001,0.5546683907117074,0.6442307692307692,4.499521541879508e-06
29,0.07517661375304063,0.8708,0.7242450030083118,0.5626798125101018,0.6442307692307692,4.1683532270843505e-06
30,0.07577622098227342,0.8685,0.7871940991361485,0.5512984214212596,0.6057692307692308,3.840899248662358e-06
31,0.07395963355898857,0.8696,0.8730711784905217,0.5470367975863369,0.5673076923076923,3.518622095571831e-06
32,0.07333230885366598,0.8712,0.7532003869895231,0.5460158396638112,0.5673076923076923,3.202961135812437e-06
33,0.0694081587716937,0.879,0.8010745814041884,0.554983567695706,0.6057692307692308,2.8953261878583263e-06
34,0.07372804388403892,0.8754,0.8113029490817677,0.5584397392381876,0.6057692307692308,2.5970912240665815e-06
35,0.07062547529737155,0.8779,0.7743116955159965,0.5614945315446367,0.6442307692307692,2.309588234183137e-06
36,0.06850705939034621,0.8829,0.8975943862319444,0.5593744949086795,0.6057692307692308,2.0341012763532243e-06
37,0.06686723786095779,0.885,0.8405550927996184,0.561233230968159,0.6057692307692308,1.771860742205988e-06
38,0.06687383656700452,0.8844,0.7171817678026855,0.5639189698830882,0.6826923076923077,1.5240378616267887e-06
39,0.06613142109165589,0.885,0.7414010038923924,0.5583535369861538,0.6826923076923077,1.2917394717602123e-06
40,0.0669556545590361,0.8873,0.7557878134715738,0.5533969074942082,0.6826923076923077,1.0760030736066952e-06
41,0.0680855401729544,0.8808,0.7973190876514171,0.562733688917623,0.6826923076923077,8.777921982911996e-07
42,0.0656568432226777,0.8908,0.8017301368103786,0.5621033349496256,0.6826923076923077,6.979921036993042e-07
43,0.06485867638140917,0.8912,0.8021886771770589,0.5645924249771026,0.6826923076923077,5.374058207005945e-07
44,0.06393237352371216,0.8942,0.7718514284598782,0.5574187813156619,0.6826923076923077,3.9675056661785563e-07
45,0.06408530396719773,0.8902,0.7585221261040054,0.5589838909541511,0.6826923076923077,2.7665454196040665e-07
46,0.06356809745232264,0.8929,0.7598299021889089,0.5592882926566456,0.6826923076923077,1.776541247281177e-07
47,0.06627317645897468,0.8848,0.7800697312182323,0.5580599105651635,0.6826923076923077,1.0019147481706626e-07
48,0.06365697270880143,0.8906,0.7759796756347923,0.558364312267658,0.6826923076923077,1.0000000000000001e-07
49,0.06185750043640534,0.8958,0.7794085614750106,0.5599186466246431,0.6826923076923077,1.0000000000000001e-07
50,0.06403187883396944,0.8935,0.7931420108670313,0.560853402295135,0.6826923076923077,1.0000000000000001e-07
