epoch,train_loss,train_acc,val_loss,val_win_bal_acc,val_rec_bal_acc,lr
1,0.17354585945901305,0.4892,0.18926280550658703,0.4959349593495935,0.5,3.3333333333333333e-06
2,0.17303104772426114,0.5295,0.1836904026567936,0.48013844859934013,0.5,6.666666666666667e-06
3,0.17172101641645526,0.5688,0.1831013336777687,0.5191822475253931,0.3333333333333333,1e-05
4,0.1668091891425671,0.6173,0.26655997848138213,0.5430764917728753,0.5,9.988834393115768e-06
5,0.15967306236524392,0.6501,0.6678901446866803,0.5079575596816976,0.5,9.955387440773902e-06
6,0.15521674913049924,0.6535,0.8641182113788091,0.506631299734748,0.5,9.899808525182935e-06
7,0.1532757458562898,0.6626,1.1026927073762636,0.5013262599469496,0.5,9.822345875271884e-06
8,0.15274402528706163,0.6618,1.2658085197253968,0.5013262599469496,0.5,9.723345458039595e-06
9,0.15233601714567382,0.6666,1.294988085377554,0.5013262599469496,0.5,9.603249433382145e-06
10,0.15218513488474458,0.6589,1.3691469968071033,0.5013262599469496,0.5,9.462594179299408e-06
11,0.1496095178962344,0.6745,1.4605655217528692,0.5013262599469496,0.5,9.302007896300697e-06
12,0.1507325011240964,0.6679,1.4643482106657757,0.5013262599469496,0.5,9.122207801708802e-06
13,0.14990298095906135,0.672,1.48135963072491,0.5013262599469496,0.5,8.923996926393306e-06
14,0.1495016929094154,0.6714,1.458250477029651,0.5013262599469496,0.5,8.708260528239788e-06
15,0.15007558896547496,0.6753,1.5102548426802969,0.5013262599469496,0.5,8.475962138373212e-06
16,0.14884742161277498,0.67,1.4764379661573912,0.5053050397877984,0.5,8.228139257794012e-06
17,0.1482921814048054,0.6751,1.439969144308634,0.5159151193633952,0.5,7.965898723646777e-06
18,0.14895922299658898,0.6708,1.4061896778002847,0.5145888594164456,0.5,7.690411765816864e-06
19,0.14881164499438634,0.6711,1.5238472572891624,0.5079575596816976,0.5,7.402908775933419e-06
20,0.1472628150909844,0.6799,1.5175703051208984,0.5212201591511937,0.5,7.104673812141676e-06
21,0.14819149602905357,0.6756,1.6097222550470178,0.506631299734748,0.5,6.797038864187564e-06
22,0.14755723603291088,0.679,1.5258355629302969,0.5159151193633952,0.5,6.481377904428171e-06
23,0.14905519244989546,0.6679,1.498784174069442,0.5145888594164456,0.5,6.1591007513376425e-06
24,0.14737107778097144,0.6829,1.5991062918619718,0.5092838196286472,0.5,5.831646772915651e-06
25,0.1474921053810285,0.6713,1.6401451621150045,0.5053050397877984,0.5,5.500478458120493e-06
26,0.14685618951179014,0.6784,1.6647004932583513,0.5145888594164456,0.5,5.1670748850383734e-06
27,0.1476347064691605,0.6757,1.5882127642689738,0.519893899204244,0.5,4.832925114961629e-06
28,0.14755766702317955,0.677,1.6208367682338576,0.513262599469496,0.5,4.499521541879508e-06
29,0.1474568881832137,0.6756,1.618853606047196,0.519893899204244,0.5,4.1683532270843505e-06
30,0.14697271921109445,0.6774,1.641156528281499,0.5159151193633952,0.5,3.840899248662358e-06
31,0.1478031112415956,0.6745,1.6765799634649738,0.5159151193633952,0.5,3.518622095571831e-06
32,0.14625274839967783,0.6759,1.6219067297097354,0.519893899204244,0.5,3.202961135812437e-06
33,0.1462860974566181,0.6754,1.6964627133820613,0.519893899204244,0.5,2.8953261878583263e-06
34,0.14604873778206287,0.6841,1.6686257065357495,0.519893899204244,0.5,2.5970912240665815e-06
35,0.14624372655802434,0.6858,1.7089740794108366,0.519893899204244,0.5,2.309588234183137e-06
36,0.1453802565684413,0.6887,1.7193162831563313,0.519893899204244,0.5,2.0341012763532243e-06
37,0.1471199289259344,0.6771,1.7562623785252072,0.519893899204244,0.5,1.771860742205988e-06
38,0.1449942184556829,0.6773,1.7822482456485886,0.519893899204244,0.5,1.5240378616267887e-06
39,0.14615844160613448,0.6827,1.7554613800548395,0.519893899204244,0.5,1.2917394717602123e-06
40,0.14603594937684514,0.6804,1.739064264249464,0.5212201591511937,0.5,1.0760030736066952e-06
41,0.14442050180370264,0.6866,1.7346026861832797,0.5212201591511937,0.5,8.777921982911996e-07
42,0.1459918439314507,0.6798,1.738734006325103,0.5212201591511937,0.5,6.979921036993042e-07
43,0.14611381746017107,0.6833,1.7227202608319203,0.5212201591511937,0.5,5.374058207005945e-07
44,0.14630374740255941,0.6856,1.7297575703532857,0.5212201591511937,0.5,3.9675056661785563e-07
45,0.14490373325672481,0.6822,1.7295433197696184,0.5212201591511937,0.5,2.7665454196040665e-07
46,0.14565321474824802,0.6818,1.7298502636676858,0.5212201591511937,0.5,1.776541247281177e-07
47,0.14590720308594185,0.6839,1.7344611302705744,0.5212201591511937,0.5,1.0019147481706626e-07
48,0.14613525326004123,0.6819,1.7338854703048128,0.5212201591511937,0.5,1.0000000000000001e-07
49,0.145669576297007,0.6798,1.7320798258806462,0.5212201591511937,0.5,1.0000000000000001e-07
50,0.14581383097142275,0.6825,1.7364543320181838,0.5212201591511937,0.5,1.0000000000000001e-07
