epoch,train_loss,val_loss,val_bal_acc,lr
1,0.17688933511575064,0.18664467334747314,0.5,0.0
2,0.17520357171694437,0.1770649552345276,0.5,0.0006413526055732688
3,0.16370822240908942,0.20205288380384445,0.5,0.0020231049075626548
4,0.15384291236599287,0.2183760553598404,0.375,0.005
5,0.1626268389324347,0.1962481588125229,0.25,0.005
6,0.1725932570795218,0.2418987974524498,0.5,0.005
7,0.18569346889853477,0.21026835590600967,0.375,0.005
8,0.16718268766999245,0.23364534229040146,0.375,0.005
9,0.22349763909975687,0.4724365323781967,0.5,0.005
10,0.13289437318841615,0.21279700100421906,0.375,0.005
11,0.13203585147857666,0.375996557995677,0.5,0.005
12,0.11187820509076118,0.23846300318837166,0.25,0.005
13,0.09364830950895946,0.28954223543405533,0.5,0.0025
14,0.09768930450081825,0.47618474811315536,0.5,0.0025
15,0.10682130977511406,0.28278911113739014,0.25,0.0025
16,0.08923535545667012,0.5385698527097702,0.5,0.0025
