epoch,train_loss,val_loss,val_bal_acc,lr
1,0.17998790244261423,0.15947498381137848,0.5,0.0
2,0.18659360458453497,0.1795409917831421,0.5,0.0006413526055732688
3,0.18404665340979895,0.1852385178208351,0.2,0.0020231049075626548
4,0.1662668064236641,0.2529754936695099,0.5,0.005
5,0.14332983394463858,0.25578704476356506,0.3666666666666667,0.005
6,0.13913249969482422,0.3079969361424446,0.4,0.005
7,0.15723789110779762,0.31373362243175507,0.3666666666666667,0.005
8,0.12109000111619632,0.34346697852015495,0.4,0.005
9,0.16238713761170706,0.35084252059459686,0.3333333333333333,0.005
10,0.1245080108443896,0.3396558463573456,0.4,0.005
11,0.0768091877301534,0.31315620243549347,0.1,0.0025
12,0.0961084080239137,0.34600163996219635,0.2,0.0025
13,0.07335382420569658,0.4054446816444397,0.3,0.0025
14,0.06783914566040039,0.4248274266719818,0.1,0.0025
15,0.05978730879724026,0.4741436243057251,0.1,0.0025
16,0.05179539035695294,0.5535281300544739,0.3,0.0025
