epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,1.1532762026786805,0.48245614035087714,0.5,0.00012
2,0.6321882736682892,0.5429981203007519,0.5625,0.00024
3,0.35189582824707033,0.569000626566416,0.5625,0.00023998489532086502
4,0.14403040781617166,0.5411967418546366,0.5,0.00023993958508598223
5,0.029556437879800796,0.5577224310776943,0.5,0.00023986408070196096
6,0.004734218034427613,0.5299185463659147,0.4375,0.00023975840117662612
7,0.0010513311557588168,0.5533364661654135,0.4375,0.0002396225731142331
8,0.00017841432709246873,0.5724467418546366,0.5,0.00023945663070877016
9,3.836272009721142e-05,0.5724467418546366,0.5,0.0002392606157353505
10,1.3220580431152485e-05,0.5724467418546366,0.5,0.00023903457753969546
11,6.4739792151158325e-06,0.5620300751879699,0.5,0.00023877857302571193
12,3.8055819004512157e-06,0.5791040100250626,0.5625,0.00023849266664116732
13,1.9897502488674947e-06,0.5724467418546366,0.5,0.00023817693036146497
14,1.0677301520445326e-06,0.568687343358396,0.5,0.0002378314436715248
15,5.806012666198512e-07,0.568687343358396,0.5,0.00023745629354577347
16,2.984788558535456e-07,0.5620300751879699,0.5,0.00023705157442624887
17,1.340152306283926e-07,0.568687343358396,0.5,0.00023661738819882503
18,6.647768945100552e-08,0.568687343358396,0.5,0.00023615384416756277
