epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17729026950755208,0.5332442688971499,0.5,0.0001
2,0.13867207743086904,0.5997908921933086,0.6875,0.0002
3,0.08277451788198273,0.6720298946716232,0.625,0.0003
4,0.04742544383372901,0.5925302044609666,0.625,0.0004
5,0.047739486789928294,0.5878446406443618,0.6875,0.0005
6,0.03655637839352185,0.591542750929368,0.5625,0.0004997807075247146
7,0.02473902229641406,0.6209533767038414,0.625,0.0004991232148123761
8,0.021613136513756133,0.6820593246592317,0.6875,0.0004980286753286195
9,0.017646067301338574,0.6189397459727385,0.625,0.0004964990092676262
10,0.018459412249525624,0.6455622676579926,0.8125,0.0004945369001834514
11,0.011446283564063773,0.6831823110285006,0.6875,0.0004921457902821578
12,0.014690105883483687,0.6838793370508054,0.8125,0.0004893298743830168
13,0.01100233027751048,0.6779546158612144,0.6875,0.0004860940925593703
14,0.005821477146797269,0.630731102850062,0.75,0.00048244412147206283
15,0.00866041474542932,0.645252478314746,0.6875,0.0004783863644106502
16,0.010068797048418518,0.6846731722428749,0.6875,0.0004739279400598532
17,0.0076408418703204865,0.6731141573729864,0.8125,0.0004690766700109659
18,0.007652197401083233,0.6582829925650557,0.8125,0.0004638410650401267
19,0.014192805622958573,0.6697645600991325,0.75,0.00045823031017752484
20,0.006895929218307225,0.6578763940520447,0.625,0.0004522542485937369
21,0.0018554789381116006,0.6641883519206939,0.75,0.00044592336433145995
22,0.0017921680888183852,0.6816914498141264,0.625,0.0004392487639129391
23,0.004158288746163274,0.6641496282527881,0.875,0.00043224215685535287
24,0.0036477500531341407,0.663065365551425,0.75,0.00042491583512834137
25,0.007733854502801924,0.7106954770755887,0.875,0.0004172826515897146
26,0.0016415548609486751,0.7054871437422552,0.8125,0.00040935599743717243
27,0.005088342498534333,0.6832210346964065,0.6875,0.00040114977871559375
28,0.004520435791112865,0.6671700743494424,0.8125,0.000392678391921108
29,0.0027734139105821255,0.6950511152416357,0.8125,0.00038395669874474915
30,0.004608902210147446,0.6827950743494424,0.875,0.000375
31,0.006253360341841746,0.6478276022304832,0.75,0.00036582400877996547
32,0.0021084949047741794,0.6701517967781909,0.8125,0.0003564448228912682
33,0.0026352808719417773,0.6727075588599752,0.75,0.00034687889661302575
34,0.0033527344080110473,0.6880034076827757,0.75,0.0003371430118304538
35,0.002701915246860771,0.7009951982651796,0.8125,0.00032725424859373687
36,0.004997578171207591,0.6712941449814127,0.6875,0.0003172299551538164
37,0.004557208123197546,0.6735013940520447,0.75,0.00030708771752766396
38,0.0043634204967191795,0.6942960037174721,0.8125,0.0002968453286464312
39,0.0022749187003185244,0.669009448574969,0.6875,0.00028652075714060294
40,0.0011078052118291281,0.6497057001239157,0.6875,0.0002761321158169134
41,0.0008316938324381501,0.6497057001239157,0.75,0.0002656976298823284
42,0.0014717020432666653,0.6787097273853779,0.8125,0.00025523560497083924
43,0.0006153985711131649,0.6634719640644362,0.75,0.00024476439502916077
44,0.0008628479720847659,0.6865319083023544,0.75,0.00023430237011767165
45,0.002817125341458259,0.7006273234200744,0.8125,0.00022386788418308668
