epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.16986064090468417,0.4417034320012312,0.3125,3.3333333333333333e-06
2,0.14689015892559085,0.43609244344123527,0.375,6.666666666666667e-06
3,0.12137696044198398,0.44554989825407415,0.4375,1e-05
4,0.09049357615154364,0.438526009336685,0.4375,9.988834393115768e-06
5,0.06183287441387944,0.47522080575933245,0.35096153846153844,9.955387440773902e-06
6,0.04220864490937741,0.49056178286222407,0.35096153846153844,9.899808525182935e-06
7,0.029713525155816097,0.5165518818721251,0.3894230769230769,9.822345875271884e-06
8,0.02197507510882342,0.5317496451717711,0.3894230769230769,9.723345458039595e-06
9,0.01657948186406973,0.5271593221498316,0.3894230769230769,9.603249433382145e-06
10,0.012881280135446304,0.5694095316267378,0.3894230769230769,9.462594179299408e-06
11,0.009615194942968116,0.5505726414610372,0.3894230769230769,9.302007896300697e-06
12,0.008226228095778403,0.5604597376836129,0.3894230769230769,9.122207801708802e-06
13,0.005492056975704511,0.5701159818054344,0.4278846153846154,8.923996926393306e-06
14,0.00461190453181147,0.5506463858821116,0.4519230769230769,8.708260528239788e-06
15,0.003217865967933736,0.5743600266762428,0.46634615384615385,8.475962138373212e-06
16,0.0019115453749942264,0.6051114502641974,0.5048076923076923,8.228139257794012e-06
17,0.0015739020339727479,0.566864814719814,0.5528846153846154,7.965898723646777e-06
18,0.0011009455949700993,0.5671234545734366,0.4278846153846154,7.690411765816864e-06
19,0.0010939293563897918,0.5677283725781904,0.5528846153846154,7.402908775933419e-06
20,0.00042328073309938355,0.5472658988696797,0.5528846153846154,7.104673812141676e-06
21,0.00020114380548216887,0.5686058243130012,0.4903846153846154,6.797038864187564e-06
22,3.1599717689898864e-05,0.5810376374425008,0.46634615384615385,6.481377904428171e-06
23,1.6822468048314017e-05,0.5713258178149421,0.4278846153846154,6.1591007513376425e-06
24,1.3214911326752466e-05,0.5689659963405667,0.4903846153846154,5.831646772915651e-06
25,1.13950338643541e-05,0.5622883855743087,0.4903846153846154,5.500478458120493e-06
26,1.0027676993579906e-05,0.5681024384821902,0.4278846153846154,5.1670748850383734e-06
27,9.103073716164806e-06,0.5657426170078148,0.4903846153846154,4.832925114961629e-06
28,8.17871888238574e-06,0.5668509208433796,0.4903846153846154,4.499521541879508e-06
29,7.279083181584746e-06,0.5697141281485661,0.4903846153846154,4.1683532270843505e-06
30,6.72212005762655e-06,0.5684626105097557,0.4903846153846154,3.840899248662358e-06
31,6.314868727159414e-06,0.573657851536449,0.4903846153846154,3.518622095571831e-06
32,5.882777188538779e-06,0.5718014158928846,0.4903846153846154,3.202961135812437e-06
33,5.464044420477876e-06,0.5727942936780724,0.5288461538461539,2.8953261878583263e-06
34,5.2547366211043464e-06,0.566864814719814,0.4903846153846154,2.5970912240665815e-06
35,4.9696151558467024e-06,0.5719168419432616,0.5528846153846154,2.309588234183137e-06
36,4.591441847617392e-06,0.5695848082217548,0.4903846153846154,2.0341012763532243e-06
