epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.1769901291363769,0.43229166666666663,0.375,3.3333333333333333e-06
2,0.15156582034532987,0.453125,0.4375,6.666666666666667e-06
3,0.14084309950057003,0.44583333333333336,0.375,1e-05
4,0.12369152473226663,0.46770833333333334,0.4375,9.988834393115768e-06
5,0.10274921412439278,0.46875,0.4375,9.955387440773902e-06
6,0.09013498138316671,0.49895833333333334,0.5,9.899808525182935e-06
7,0.09101904917962014,0.4927083333333333,0.5,9.822345875271884e-06
8,0.08041569867250978,0.49479166666666663,0.5625,9.723345458039595e-06
9,0.0718755461823151,0.5072916666666667,0.5625,9.603249433382145e-06
10,0.06029781105286518,0.4927083333333333,0.5625,9.462594179299408e-06
11,0.04439903779665555,0.478125,0.5,9.302007896300697e-06
12,0.03720550022182276,0.4833333333333333,0.4375,9.122207801708802e-06
13,0.024493637418635035,0.5020833333333333,0.5625,8.923996926393306e-06
14,0.016048809006483134,0.48750000000000004,0.4375,8.708260528239788e-06
15,0.010962019977331783,0.4895833333333333,0.5625,8.475962138373212e-06
16,0.005283710775444262,0.48854166666666665,0.5625,8.228139257794012e-06
17,0.0027113368463817424,0.4666666666666667,0.5,7.965898723646777e-06
18,0.0008178703704961932,0.48020833333333335,0.5625,7.690411765816864e-06
19,7.047696371149835e-05,0.47812499999999997,0.5625,7.402908775933419e-06
20,1.8285611298507828e-05,0.475,0.5,7.104673812141676e-06
21,1.475035277392283e-06,0.49270833333333336,0.5625,6.797038864187564e-06
22,6.154110724569563e-07,0.4854166666666667,0.5625,6.481377904428171e-06
23,4.34012031482815e-07,0.48124999999999996,0.625,6.1591007513376425e-06
24,3.4175487911300914e-07,0.484375,0.5625,5.831646772915651e-06
25,2.5362422717133454e-07,0.48020833333333335,0.5625,5.500478458120493e-06
26,2.0906013765962345e-07,0.478125,0.5625,5.1670748850383734e-06
27,1.71111651807509e-07,0.4822916666666667,0.5625,4.832925114961629e-06
28,1.3794981674083247e-07,0.48124999999999996,0.5625,4.499521541879508e-06
29,1.1277473204720571e-07,0.484375,0.5625,4.1683532270843505e-06
30,8.496286137001912e-08,0.4864583333333333,0.5625,3.840899248662358e-06
31,7.027175844518678e-08,0.48020833333333335,0.5625,3.518622095571831e-06
32,5.365404396672795e-08,0.4854166666666667,0.5625,3.202961135812437e-06
33,4.7477861938047745e-08,0.47916666666666663,0.5625,2.8953261878583263e-06
34,3.3231397776325514e-08,0.47916666666666663,0.5625,2.5970912240665815e-06
35,2.7857536328429377e-08,0.4760416666666667,0.5625,2.309588234183137e-06
36,2.1492128678047435e-08,0.4833333333333333,0.5625,2.0341012763532243e-06
37,1.7918996902954733e-08,0.4864583333333333,0.5625,1.771860742205988e-06
38,1.444370382301024e-08,0.4864583333333333,0.5625,1.5240378616267887e-06
