epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.851372241973877,0.4756944444444444,0.4375,0.00012
2,0.5618432235717773,0.5694444444444444,0.5,0.00024
3,0.3057868325710297,0.6493055555555556,0.8125,0.00023998489532086502
4,0.10267562404274941,0.6736111111111112,0.75,0.00023993958508598223
5,0.020295808827504515,0.6527777777777778,0.6875,0.00023986408070196096
6,0.008455781751545146,0.6215277777777778,0.625,0.00023975840117662612
7,0.0016975340506178327,0.6354166666666667,0.625,0.0002396225731142331
8,0.0005457234312780202,0.6597222222222222,0.5625,0.00023945663070877016
9,0.00016822053847135977,0.5902777777777778,0.5625,0.0002392606157353505
10,3.9262576974579135e-05,0.6215277777777778,0.5625,0.00023903457753969546
11,1.9051293911616085e-05,0.6041666666666666,0.5625,0.00023877857302571193
12,6.941486790310592e-06,0.6180555555555556,0.625,0.00023849266664116732
13,2.0140497122156377e-06,0.6493055555555556,0.6875,0.00023817693036146497
14,1.2648551671645692e-06,0.6388888888888888,0.625,0.0002378314436715248
15,7.604915253978106e-07,0.625,0.625,0.00023745629354577347
16,3.8779070450800644e-07,0.6145833333333334,0.625,0.00023705157442624887
17,2.3184179724466957e-07,0.6284722222222222,0.625,0.00023661738819882503
18,1.1994280711746798e-07,0.6319444444444444,0.625,0.00023615384416756277
19,6.205205458797991e-08,0.625,0.625,0.00023566105902719306
20,2.800752138654161e-08,0.625,0.625,0.0002351391568337397
