epoch,train_loss,val_loss,val_bal_acc,lr
1,0.17547345567833295,0.174725703895092,0.5,0.0
2,0.17378698831254785,0.16908442601561546,0.5,0.0006413526055732688
3,0.1735304594039917,0.1672794111073017,0.625,0.0020231049075626548
4,0.18582640723748642,0.16868019104003906,0.5,0.005
5,0.19856085831468756,0.16643906012177467,0.625,0.005
6,0.17819498750296506,0.1735411249101162,0.5,0.005
7,0.1767286549914967,0.1711192987859249,0.5,0.005
8,0.18738072297789835,0.167615856975317,0.5625,0.005
9,0.1692934740673412,0.17382027581334114,0.5,0.005
10,0.17780940370126205,0.17544928193092346,0.5,0.005
11,0.18684364990754562,0.16716605052351952,0.5625,0.005
12,0.17301171069795435,0.170076634734869,0.5,0.0025
13,0.17447306622158398,0.17170461639761925,0.5,0.0025
14,0.17218098044395447,0.16914993897080421,0.5,0.0025
15,0.17580591413107785,0.1676274985074997,0.625,0.0025
16,0.17285968634215268,0.16797412559390068,0.6875,0.0025
17,0.17219710620966824,0.16793794184923172,0.5,0.0025
18,0.17100416665727441,0.16850284487009048,0.625,0.0025
19,0.17521054229953073,0.17059002444148064,0.5,0.0025
20,0.1724635592915795,0.16776011884212494,0.5625,0.0025
21,0.1716417521238327,0.16677533090114594,0.5625,0.0025
22,0.1746229353276166,0.16932928934693336,0.5,0.0025
23,0.1726156838915565,0.1689923107624054,0.5,0.00125
24,0.17220582474361767,0.1689796857535839,0.5,0.00125
25,0.1710855161601847,0.1677475981414318,0.5625,0.00125
26,0.17173304205591028,0.16708767786622047,0.5,0.00125
27,0.17226980355652896,0.1682664453983307,0.625,0.00125
28,0.17028303715315732,0.16781151667237282,0.625,0.00125
29,0.17146721482276917,0.16765941679477692,0.5625,0.000625
30,0.17181199111721732,0.16773058846592903,0.625,0.000625
31,0.1703389436006546,0.1672375090420246,0.6875,0.000625
32,0.17081743343309921,0.167335394769907,0.5625,0.000625
33,0.17063949866728348,0.16721421107649803,0.625,0.000625
34,0.17004477029496973,0.16739924252033234,0.625,0.000625
35,0.17067541182041168,0.16773371398448944,0.625,0.0003125
36,0.17039619792591443,0.1674439162015915,0.6875,0.0003125
37,0.17133032869208942,0.16780882328748703,0.625,0.0003125
38,0.17128132419152695,0.16735420003533363,0.625,0.0003125
39,0.1705193736336448,0.16743278875946999,0.625,0.0003125
40,0.1708498624238101,0.16748324409127235,0.6875,0.0003125
41,0.170813727107915,0.16765284165740013,0.625,0.00015625
42,0.17100457440723071,0.16763925552368164,0.625,0.00015625
43,0.170995755629106,0.16757334023714066,0.6875,0.00015625
44,0.17100914093581113,0.1675424426794052,0.625,0.00015625
45,0.16956761885773053,0.16765611246228218,0.625,0.00015625
46,0.16930829801342703,0.1676238551735878,0.6875,0.00015625
47,0.17154097963463177,0.16757728904485703,0.6875,7.8125e-05
48,0.1701259585944089,0.16753975301980972,0.625,7.8125e-05
49,0.1696064594117078,0.16761727631092072,0.6875,7.8125e-05
50,0.1697054315697063,0.1675105206668377,0.625,7.8125e-05
