epoch,train_loss,val_loss,val_bal_acc,lr
1,0.21363959233793947,0.1768942285949985,0.5208333333333334,0.0
2,0.4335463905849287,0.47664621683846536,0.5,0.0006413526055732688
3,0.2799072994611278,0.20439148973673582,0.4791666666666667,0.0020231049075626548
4,0.20781276650571576,0.1739236507564783,0.5,0.005
5,0.23840861467437613,0.17390444998939833,0.5,0.005
6,0.1759117312936319,0.1732631210858623,0.5,0.005
7,0.2093824674634056,0.1732589521755775,0.5,0.005
8,0.17405364765889114,0.1734590114404758,0.5,0.005
9,0.17438891695605385,0.1733234403654933,0.5,0.005
10,0.17433254348321092,0.17314865967879692,0.5,0.005
11,0.1736464270701011,0.17323593329638243,0.5,0.0025
12,0.17345676271037924,0.1732439457749327,0.5,0.0025
13,0.1738768634903762,0.1733007114380598,0.5,0.0025
14,0.17352007681296933,0.17329849551121393,0.5,0.0025
15,0.1734154261648655,0.1732852707306544,0.5,0.0025
16,0.1734840243847834,0.17323563620448112,0.5,0.0025
