epoch,train_loss,train_acc,val_loss,val_win_bal_acc,val_rec_bal_acc,lr
1,0.6998742622024609,0.5108,0.6870436412947518,0.5671978294929114,0.5,3.3333333333333333e-06
2,0.6236413441738993,0.6557,0.6231474805445898,0.6552313806412167,0.6666666666666667,6.666666666666667e-06
3,0.5360376760363579,0.7213,0.6107701034772963,0.636994153387596,0.75,1e-05
4,0.47652103287993736,0.7674,0.6073839054221198,0.6754556918491345,0.75,9.988834393115768e-06
5,0.4380154200601128,0.7916,0.6357223419916063,0.6904639076770225,0.5833333333333333,9.955387440773902e-06
6,0.39117888122234706,0.8181,0.6346148969162078,0.6939699644617677,0.6666666666666667,9.899808525182935e-06
7,0.34490357202319605,0.8423,0.7152425405525026,0.687015170621728,0.75,9.822345875271884e-06
8,0.3060363405647705,0.8608,0.7079359967084158,0.692374565325385,0.8333333333333333,9.723345458039595e-06
9,0.2558898379639635,0.8945,0.6985869088343212,0.7050517788222707,0.8333333333333333,9.603249433382145e-06
10,0.21559602754928595,0.9092,0.6773056082782292,0.7436279567427109,0.9166666666666667,9.462594179299408e-06
11,0.18122785731728347,0.9303,0.6876043113214629,0.7496942947762619,0.9166666666666667,9.302007896300697e-06
12,0.1520543280057609,0.9416,0.6892749209489141,0.7553785012801406,0.9166666666666667,9.122207801708802e-06
13,0.1250845884710972,0.9518,0.8960288271662735,0.7282662692498758,0.8333333333333333,8.923996926393306e-06
14,0.10250052138899435,0.9621,0.7720831128812972,0.7563624899690473,0.9166666666666667,8.708260528239788e-06
15,0.08298808238293343,0.9698,0.8161332736767474,0.7545091520501357,0.9166666666666667,8.475962138373212e-06
16,0.06471375906444594,0.9792,0.950062878962074,0.7494745691467003,0.9166666666666667,8.228139257794012e-06
17,0.0518369117174034,0.9851,0.8866909067368224,0.7599736329244526,0.9166666666666667,7.965898723646777e-06
18,0.04176718999416444,0.9866,1.1029508548478286,0.748213535098781,0.9166666666666667,7.690411765816864e-06
19,0.03240583144910282,0.9903,1.0611209680459328,0.7647216171806336,0.9166666666666667,7.402908775933419e-06
20,0.025826171871916093,0.9922,1.245132461722408,0.7507833696358286,0.9166666666666667,7.104673812141676e-06
21,0.019348022915814993,0.9948,1.1923343153404338,0.7618842905728151,0.9166666666666667,6.797038864187564e-06
22,0.017347174611783867,0.9953,1.3081185359596497,0.7672341319882303,0.9166666666666667,6.481377904428171e-06
23,0.013175804736402945,0.996,1.4970245185707296,0.7493121632465896,0.9166666666666667,6.1591007513376425e-06
24,0.010072094172429852,0.9968,1.7280717937364465,0.7527991134548512,0.9166666666666667,5.831646772915651e-06
25,0.007327592428102331,0.9982,1.6237995369093758,0.7612251136841302,0.9166666666666667,5.500478458120493e-06
26,0.007033791435693481,0.9978,1.8118953852071649,0.7511655011655012,0.9166666666666667,5.1670748850383734e-06
27,0.005005130495732682,0.9988,1.8147765401573408,0.7464175169093201,0.9166666666666667,4.832925114961629e-06
28,0.0037963903801972025,0.9993,1.8863560500599088,0.7483281745576827,0.9166666666666667,4.499521541879508e-06
29,0.003621410846193921,0.9991,1.9263413470415842,0.7525889411135313,0.9166666666666667,4.1683532270843505e-06
30,0.0027830930278872437,0.9993,1.9624511986261322,0.7589800909473041,0.9166666666666667,3.840899248662358e-06
31,0.001210067508539413,0.9997,1.9431023711249942,0.7600213993656617,0.9166666666666667,3.518622095571831e-06
32,0.0007332012360809629,0.9997,2.0073891012441543,0.7510604149948412,0.9166666666666667,3.202961135812437e-06
33,0.0003485658849058382,0.9999,2.081776580640248,0.7537353357025488,0.9166666666666667,2.8953261878583263e-06
34,0.0004264234385290073,0.9999,2.0891565506656966,0.7576139707287248,0.9166666666666667,2.5970912240665815e-06
35,4.342408317799434e-05,1.0,2.1079186793594133,0.76133019985479,0.9166666666666667,2.309588234183137e-06
36,6.440864655454582e-05,1.0,2.0478529703049433,0.7611677939546793,0.9166666666666667,2.0341012763532243e-06
37,2.2859815686079288e-05,1.0,2.073807025239581,0.7611104742252284,0.9166666666666667,1.771860742205988e-06
38,1.7164553308351248e-05,1.0,2.089797106527147,0.7619320570140242,0.9166666666666667,1.5240378616267887e-06
39,1.5030757292563822e-05,1.0,2.12620735984473,0.7591998165768657,0.9166666666666667,1.2917394717602123e-06
40,1.3720378339009053e-05,1.0,2.1256633464779173,0.7557033130803623,0.9166666666666667,1.0760030736066952e-06
41,1.2899913206998668e-05,1.0,2.11821216628665,0.7615499254843517,0.9166666666666667,8.777921982911996e-07
42,1.2464558441058884e-05,1.0,2.0931744103630385,0.7635179028621651,0.9166666666666667,6.979921036993042e-07
43,1.18366755817267e-05,1.0,2.1488313476244607,0.7677786694180138,0.9166666666666667,5.374058207005945e-07
44,1.1730411447731384e-05,1.0,2.186813705024265,0.7558657189804731,0.9166666666666667,3.9675056661785563e-07
45,1.1259407593347274e-05,1.0,2.157433230252493,0.7640624402919485,0.9166666666666667,2.7665454196040665e-07
46,1.1158068012796235e-05,1.0,2.1330818782250085,0.7619320570140242,0.9166666666666667,1.776541247281177e-07
47,1.0587321185084875e-05,1.0,2.161656517358053,0.7646642974511827,0.9166666666666667,1.0019147481706626e-07
48,1.0541612954391826e-05,1.0,2.152012999923456,0.7601838052657726,0.9166666666666667,1.0000000000000001e-07
49,1.0458923772500196e-05,1.0,2.159571973340852,0.7646642974511827,0.9166666666666667,1.0000000000000001e-07
50,1.0541883544080846e-05,1.0,2.155595911400659,0.7654285605105278,0.9166666666666667,1.0000000000000001e-07
