epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17486988431816802,0.7239928782635117,0.8134920634920635,3.3333333333333333e-06
2,0.17312733912413272,0.5953745766605651,0.5198412698412698,6.666666666666667e-06
3,0.1723619432624327,0.5315003446001526,0.5,1e-05
4,0.17043385330690156,0.5437697774549982,0.5436507936507937,9.988834393115768e-06
5,0.1656269674864384,0.5614972320826448,0.5357142857142857,9.955387440773902e-06
6,0.15878009138577576,0.5831208916621584,0.5119047619047619,9.899808525182935e-06
7,0.15517992631557884,0.5699371567893641,0.5396825396825397,9.822345875271884e-06
8,0.1529777860286039,0.6271092864183075,0.6071428571428572,9.723345458039595e-06
9,0.1504794047923263,0.6275669005995301,0.5833333333333334,9.603249433382145e-06
10,0.14943901434404042,0.6126194058055863,0.5833333333333334,9.462594179299408e-06
11,0.14748608783024167,0.659675853533819,0.746031746031746,9.302007896300697e-06
12,0.1464695333340846,0.6554294903623119,0.7420634920634921,9.122207801708802e-06
13,0.14348432127762278,0.6681361578194591,0.7896825396825397,8.923996926393306e-06
14,0.14186130453140364,0.6573599922928137,0.7936507936507937,8.708260528239788e-06
15,0.14080469349928953,0.6686243413690631,0.7619047619047619,8.475962138373212e-06
16,0.13824122706684497,0.6568866302551524,0.6785714285714286,8.228139257794012e-06
